Table 1. Gross Domestic Product by State and Region: Level and Percent Change From Preceding Period,,,,,,,,,,,,,,,,,,,,,
,Current-dollar gross domestic product,,,,,,,,Real gross domestic product,,,,,,,,,,,,
,Millions of dollars,,,,,"Percent change from
preceding period1",,,Millions of chained (2017) dollars,,,,,"Percent change from
preceding period1",,,,,,,
,2023,2024p,Seasonally adjusted at annual rates,,,,,,2023,2024p,Seasonally adjusted at annual rates,,,,,,,,,,
,,,2024,,,2024,2024,,,,2024,,,2024,2024,2024,,2024,,,
,,,Q2,Q3,Q4p,,Q3,Q4p,,,Q2,Q3,Q4p,,Rank,Q3,Q4p,Rank Q4,,,
United States,"27,720,709","29,184,890","29,016,714","29,374,914","29,723,864",5.3,5.0,4.8,"22,671,096","23,305,023","23,223,906","23,400,294","23,542,349",2.8,........,3.1,2.4,........,,,
New England ,"1,410,687","1,494,384","1,484,942","1,504,032","1,521,380",5.9,5.2,4.7,"1,169,288","1,202,928","1,198,786","1,207,363","1,213,168",2.9,........,2.9,1.9,........,,,
Connecticut,"345,912","365,723","363,417","368,321","372,561",5.7,5.5,4.7,"286,628","294,028","293,087","295,295","296,626",2.6,23,3.0,1.8,41,,,
Maine ,"93,270","98,606","97,872","99,238","100,455",5.7,5.7,5.0,"75,195","77,477","77,102","77,795","78,227",3.0,17,3.6,2.2,30,,,
Massachusetts ,"736,296","780,666","776,147","785,141","794,017",6.0,4.7,4.6,"615,505","633,618","631,770","635,409","638,424",2.9,19,2.3,1.9,38,,,
New Hampshire ,"114,101","121,189","120,163","122,086","123,749",6.2,6.6,5.6,"93,467","96,501","95,926","96,991","97,657",3.2,13,4.5,2.8,20,,,
Rhode Island ,"77,574","82,493","81,911","83,128","84,092",6.3,6.1,4.7,"63,277","65,281","65,011","65,595","65,903",3.2,14,3.6,1.9,39,,,
Vermont ,"43,534","45,707","45,432","46,119","46,507",5.0,6.2,3.4,"35,237","36,041","35,917","36,286","36,340",2.3,32,4.2,0.6,48,,,
Mideast ,"4,745,213","5,000,006","4,969,586","5,032,810","5,101,749",5.4,5.2,5.6,"3,901,561","3,992,267","3,980,260","4,006,365","4,033,279",2.3,........,2.6,2.7,........,,,
Delaware ,"98,069","103,253","102,401","103,996","105,698",5.3,6.4,6.7,"78,014","79,653","79,347","79,950","80,591",2.1,37,3.1,3.2,12,,,
District of Columbia ,"176,502","186,165","184,916","187,351","190,204",5.5,5.4,6.2,"146,024","148,020","147,570","148,317","149,387",1.4,........,2.0,2.9,........,,,
Maryland ,"515,607","542,766","539,232","546,362","552,955",5.3,5.4,4.9,"422,866","432,193","430,593","433,776","436,240",2.2,35,3.0,2.3,29,,,
New Jersey,"806,665","846,587","841,417","851,863","861,683",4.9,5.1,4.7,"663,889","678,968","676,538","681,572","685,199",2.3,33,3.0,2.1,32,,,
New York,"2,172,010","2,297,028","2,284,364","2,310,968","2,346,932",5.8,4.7,6.4,"1,791,211","1,834,561","1,831,169","1,839,391","1,853,430",2.4,26,1.8,3.1,14,,,
Pennsylvania ,"976,361","1,024,206","1,017,257","1,032,270","1,044,277",4.9,6.0,4.7,"799,229","818,529","814,704","823,019","828,080",2.4,28,4.1,2.5,25,,,
Great Lakes ,"3,584,949","3,750,266","3,730,476","3,773,859","3,815,330",4.6,4.7,4.5,"2,898,355","2,961,959","2,954,134","2,974,817","2,989,186",2.2,........,2.8,1.9,........,,,
Illinois ,"1,098,346","1,137,244","1,132,143","1,143,081","1,155,420",3.5,3.9,4.4,"885,651","895,343","893,704","898,035","902,114",1.1,44,2.0,1.8,40,,,
Indiana,"499,503","527,381","523,832","530,661","536,211",5.6,5.3,4.2,"404,290","419,473","417,660","421,672","423,767",3.8,4,3.9,2.0,35,,,
Michigan ,"673,818","706,616","703,277","711,481","719,392",4.9,4.7,4.5,"554,256","566,033","564,682","568,779","571,750",2.1,36,2.9,2.1,33,,,
Ohio ,"884,834","927,740","922,776","933,044","944,885",4.8,4.5,5.2,"709,817","727,262","725,370","729,842","734,460",2.5,24,2.5,2.6,24,,,
Wisconsin ,"428,447","451,285","448,446","455,591","459,423",5.3,6.5,3.4,"344,571","354,076","352,941","356,725","357,337",2.8,21,4.4,0.7,47,,,
Plains ,"1,726,903","1,779,737","1,771,777","1,787,845","1,809,772",3.1,3.7,5.0,"1,388,151","1,402,346","1,400,468","1,405,370","1,413,322",1.0,........,1.4,2.3,........,,,
Iowa ,"254,032","257,021","255,962","257,575","260,625",1.2,2.5,4.8,"202,051","201,097","201,089","201,098","201,930",-0.5,49,0.0,1.7,42,,,
Kansas,"228,232","234,673","234,119","236,123","238,595",2.8,3.5,4.3,"183,796","185,721","185,853","186,478","187,225",1.0,45,1.4,1.6,43,,,
Minnesota ,"483,162","500,851","497,631","502,946","509,807",3.7,4.3,5.6,"390,908","395,307","393,936","395,902","398,748",1.1,43,2.0,2.9,17,,,
Missouri ,"430,114","451,201","448,165","454,580","460,687",4.9,5.8,5.5,"348,487","356,653","355,230","358,527","361,037",2.3,30,3.8,2.8,19,,,
Nebraska,"181,285","185,411","185,238","185,967","188,356",2.3,1.6,5.2,"145,020","145,909","146,449","145,943","146,657",0.6,47,-1.4,2.0,36,,,
North Dakota ,"76,043","75,399","75,724","75,221","75,526",-0.8,-2.6,1.6,"60,349","59,916","60,018","59,665","59,974",-0.7,50,-2.3,2.1,34,,,
South Dakota ,"74,034","75,179","74,938","75,433","76,177",1.5,2.7,4.0,"57,275","57,498","57,638","57,522","57,526",0.4,48,-0.8,0.0,49,,,
Southeast ,"6,122,627","6,487,285","6,444,240","6,531,441","6,618,605",6.0,5.5,5.4,"4,952,759","5,117,774","5,095,906","5,141,119","5,178,942",3.3,........,3.6,3.0,........,,,
Alabama ,"304,936","321,238","318,080","324,078","329,002",5.3,7.8,6.2,"245,355","252,665","250,740","254,444","256,814",3.0,18,6.0,3.8,5,,,
Arkansas,"178,606","188,723","186,197","190,230","193,865",5.7,8.9,7.9,"142,861","148,208","146,642","149,105","150,974",3.7,5,6.9,5.1,1,,,
Florida ,"1,600,811","1,705,565","1,695,273","1,717,871","1,738,676",6.5,5.4,4.9,"1,292,788","1,339,619","1,334,883","1,345,732","1,353,579",3.6,8,3.3,2.4,28,,,
Georgia ,"831,828","882,535","877,746","887,924","899,383",6.1,4.7,5.3,"678,201","701,073","699,114","703,633","708,384",3.4,12,2.6,2.7,22,,,
Kentucky,"279,707","293,021","291,108","295,140","298,563",4.8,5.7,4.7,"224,418","229,885","228,919","231,149","232,508",2.4,25,4.0,2.4,27,,,
Louisiana ,"314,989","327,782","326,653","328,961","332,462",4.1,2.9,4.3,"248,616","256,422","255,731","257,162","258,976",3.1,15,2.3,2.9,18,,,
Mississippi ,"151,147","157,491","156,026","158,548","161,128",4.2,6.6,6.7,"119,548","122,438","121,552","123,070","124,340",2.4,27,5.1,4.2,2,,,
North Carolina ,"788,103","839,122","832,747","845,143","857,315",6.5,6.1,5.9,"638,067","661,948","658,944","665,245","670,284",3.7,6,3.9,3.1,15,,,
South Carolina ,"327,420","349,965","348,128","352,048","357,190",6.9,4.6,6.0,"262,299","273,325","272,449","274,458","276,902",4.2,2,3.0,3.6,7,,,
Tennessee ,"523,032","549,709","545,695","553,471","560,996",5.1,5.8,5.6,"422,088","432,266","430,107","434,409","437,634",2.4,29,4.1,3.0,16,,,
Virginia ,"719,897","764,475","759,236","769,660","780,958",6.2,5.6,6.0,"597,597","616,058","613,508","618,405","623,581",3.1,16,3.2,3.4,10,,,
West Virginia ,"102,152","107,660","107,351","108,366","109,065",5.4,3.8,2.6,"80,798","83,654","83,118","84,078","84,741",3.5,11,4.7,3.2,13,,,
Southwest ,"3,498,332","3,667,881","3,648,018","3,691,238","3,733,536",4.8,4.8,4.7,"2,838,599","2,932,690","2,917,247","2,945,506","2,970,480",3.3,........,3.9,3.4,........,,,
Arizona ,"522,767","552,167","548,806","555,614","563,190",5.6,5.1,5.6,"422,400","433,763","432,050","435,345","438,855",2.7,22,3.1,3.3,11,,,
New Mexico,"135,010","140,542","140,092","141,302","142,531",4.1,3.5,3.5,"110,324","112,801","112,371","113,106","113,840",2.2,34,2.6,2.6,23,,,
Oklahoma,"256,689","265,779","264,596","267,321","270,141",3.5,4.2,4.3,"207,923","212,784","211,722","213,540","215,334",2.3,31,3.5,3.4,9,,,
Texas,"2,583,866","2,709,393","2,694,524","2,727,002","2,757,673",4.9,4.9,4.6,"2,097,090","2,172,369","2,160,124","2,182,545","2,201,475",3.6,9,4.2,3.5,8,,,
Rocky Mountain ,"1,057,159","1,111,304","1,105,197","1,119,667","1,132,534",5.1,5.3,4.7,"856,063","879,815","876,509","884,183","889,931",2.8,........,3.5,2.6,........,,,
Colorado ,"529,627","553,323","550,173","557,308","563,398",4.5,5.3,4.4,"437,056","445,302","443,496","447,218","449,895",1.9,39,3.4,2.4,26,,,
Idaho ,"120,958","128,132","127,373","129,644","130,565",5.9,7.3,2.9,"95,898","99,603","99,369","100,548","100,545",3.9,3,4.8,0.0,50,,,
Montana ,"73,255","75,999","75,855","76,195","77,135",3.7,1.8,5.0,"57,373","58,520","58,541","58,528","58,923",2.0,38,-0.1,2.7,21,,,
Utah ,"281,329","300,904","298,815","303,367","307,885",7.0,6.2,6.1,"225,459","235,716","234,521","237,124","239,424",4.5,1,4.5,3.9,4,,,
Wyoming ,"51,991","52,946","52,980","53,154","53,550",1.8,1.3,3.0,"40,211","40,516","40,414","40,603","40,978",0.8,46,1.9,3.8,6,,,
Far West,"5,421,428","5,735,160","5,704,518","5,774,043","5,830,589",5.8,5.0,4.0,"4,525,828","4,677,971","4,663,936","4,698,379","4,715,698",3.4,........,3.0,1.5,........,,,
