State_Abbr,State_Name,Landcover_Counts
VI,United States Virgin Islands,"{60=204.0, 50=4545.0, 95=159.0, 10=25601.0, 30=4545.0, 90=150.0, 80=164672.9098039215, 40=18.0, 20=855.0}"
MP,Commonwealth of the Northern Mariana Islands,"{30=6861.0, 60=58.0, 90=4.0, 50=1207.0, 80=323967.9254901962, 40=34.0, 10=24245.0}"
GU,Guam,"{60=477.0, 50=4116.0, 95=86.0, 10=38154.0, 30=13010.0, 90=10.0, 80=96973.9529411763, 40=32.0, 20=3.0}"
AS,American Samoa,"{30=1597.0, 60=180.0, 90=74.0, 50=582.0, 80=120506.21960784319, 20=183.0, 95=44.0, 10=17318.0}"
PR,Puerto Rico,"{30=134073.0, 60=1887.0, 90=6210.0, 50=84387.0, 80=521810.28627450997, 40=6932.0, 95=8898.0, 20=6039.0, 10=689528.0}"
RI,Rhode Island,"{30=35916.4, 60=1733.7843137254902, 90=3379.01568627451, 50=31432.0431372549, 80=172680.30588235252, 40=2872.0156862745093, 10=287480.066666667}"
NH,New Hampshire,"{100=36.0, 30=183284.05098039214, 60=4176.011764705881, 90=12302.12549019608, 50=44370.65882352942, 80=128321.68627450973, 40=28176.50980392155, 20=1.0, 10=2949054.678431373}"
VT,Vermont,"{30=309694.90588235296, 60=1803.8039215686276, 90=7014.827450980392, 50=24463.654901960785, 80=130932.47058823543, 40=159496.78039215686, 10=2834142.8980392125}"
CT,Connecticut,"{30=150099.69019607842, 60=2869.6235294117646, 90=10630.741176470588, 50=74259.14117647058, 80=236750.76470588238, 40=27430.007843137253, 10=1418851.2588235303}"
ME,Maine,"{100=348.0, 30=743259.2078431373, 60=7876.019607843137, 90=54982.63529411765, 50=44474.83529411765, 80=1609875.2745098032, 40=175447.42745098038, 20=238.0, 10=1.0386308741176471E7}"
MA,Massachusetts,"{30=231665.38039215692, 60=9698.756862745098, 90=38523.83921568627, 50=156045.7215686275, 80=938929.9333333317, 40=33959.960784313735, 10=2281328.7176470575}"
