State,State_FIPS,Pop_2024
Alabama,01,5157699
Alaska,02,740133
Arizona,04,7582384
Arkansas,05,3088354
California,06,39431263
Colorado,08,5957493
Connecticut,09,3675069
Delaware,10,1051917
District of Columbia,11,702250
Florida,12,23372215
Georgia,13,11180878
Hawaii,15,1446146
Idaho,16,2001619
Illinois,17,12710158
Indiana,18,6924275
Iowa,19,3241488
Kansas,20,2970606
Kentucky,21,4588372
Louisiana,22,4597740
Maine,23,1405012
Maryland,24,6263220
Massachusetts,25,7136171
Michigan,26,10140459
Minnesota,27,5793151
Mississippi,28,2943045
Missouri,29,6245466
Montana,30,1137233
Nebraska,31,2005465
Nevada,32,3267467
New Hampshire,33,1409032
New Jersey,34,9500851
New Mexico,35,2130256
New York,36,19867248
North Carolina,37,11046024
North Dakota,38,796568
Ohio,39,11883304
Oklahoma,40,4095393
Oregon,41,4272371
Pennsylvania,42,13078751
Rhode Island,44,1112308
South Carolina,45,5478831
South Dakota,46,924669
Tennessee,47,7227750
Texas,48,31290831
Utah,49,3503613
Vermont,50,648493
Virginia,51,8811195
Washington,53,7958180
West Virginia,54,1769979
Wisconsin,55,5960975
Wyoming,56,587618
