State,Risk_Score,Rank
District of Columbia,61.923359,1
Hawaii,40.260093,2
Texas,25.176756,3
Illinois,24.809446,4
Florida,24.651001,5
California,24.040237,6
North Carolina,23.534158,7
Pennsylvania,22.852500,8
New Jersey,22.663319,9
New York,22.237762,10
Missouri,21.874418,11
Washington,21.635191,12
Georgia,21.024023,13
Louisiana,20.680656,14
Tennessee,20.363383,15
Ohio,20.081728,16
Arizona,19.788475,17
South Carolina,18.839321,18
Alabama,17.935535,19
Indiana,16.580398,20
Wisconsin,16.225548,21
Michigan,16.201188,22
Minnesota,16.024497,23
Kentucky,15.808690,24
Virginia,14.910174,25
Oregon,14.731771,26
Oklahoma,14.618583,27
Iowa,13.582525,28
Kansas,12.846585,29
Colorado,12.838018,30
Connecticut,12.273008,31
Mississippi,12.232618,32
Arkansas,12.103813,33
Maryland,11.273127,34
Massachusetts,10.150021,35
Nebraska,10.011288,36
Utah,9.526858,37
Delaware,9.038028,38
Nevada,8.516177,39
West Virginia,8.407337,40
Rhode Island,7.246701,41
New Mexico,7.206498,42
South Dakota,5.525318,43
New Hampshire,5.311459,44
Montana,4.978605,45
Maine,4.145004,46
Idaho,3.938435,47
North Dakota,3.112093,48
Vermont,2.194472,49
Wyoming,2.077884,50
Alaska,1.808132,51
